Accession	Id	Description
PF01794	Ferric_reduct	Ferric reductase like transmembrane component
PF01799	Fer2_2	[2Fe-2S] binding domain
PF01804	Penicil_amidase	Penicillin amidase
PF01808	AICARFT_IMPCHas	AICARFT/IMPCHase bienzyme
PF01812	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family
PF01817	CM_2	Chorismate mutase type II
PF01820	Dala_Dala_lig_N	D-ala D-ala ligase N-terminus
PF01828	Peptidase_A4	Peptidase A4 family
PF01829	Peptidase_A6	Peptidase A6 family
PF01830	Peptidase_C7	Peptidase C7 family
PF01831	Peptidase_C16	Peptidase C16 family
PF01832	Glucosaminidase	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
PF01855	POR_N	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg
PF01862	PvlArgDC	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC)
PF01872	RibD_C	RibD C-terminal domain
PF01874	CitG	ATP:dephospho-CoA triphosphoribosyl transferase
PF01880	Desulfoferrodox	Desulfoferrodoxin
PF01883	FeS_assembly_P	Iron-sulfur cluster assembly protein
PF01884	PcrB	PcrB family
PF01887	SAM_adeno_trans	S-adenosyl-l-methionine hydroxide adenosyltransferase
PF01888	CbiD	CbiD
PF01902	Diphthami_syn_2	Diphthamide synthase
PF01910	Thiamine_BP	Thiamine-binding protein
PF01913	FTR	Formylmethanofuran-tetrahydromethanopterin formyltransferase
PF01915	Glyco_hydro_3_C	Glycosyl hydrolase family 3 C-terminal domain
PF01916	DS	Deoxyhypusine synthase
PF01923	Cob_adeno_trans	Cobalamin adenosyltransferase
PF01941	AdoMet_Synthase	S-adenosylmethionine synthetase (AdoMet synthetase)
PF01943	Polysacc_synt	Polysaccharide biosynthesis protein
PF01946	Thi4	Thi4 family
PF01959	DHQS	3-dehydroquinate synthase II
PF01960	ArgJ	ArgJ family
PF01964	ThiC_Rad_SAM	Radical SAM ThiC family
PF01966	HD	HD domain
PF01967	MoaC	MoaC family
PF01968	Hydantoinase_A	Hydantoinase/oxoprolinase
PF01977	UbiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PF01979	Amidohydro_1	Amidohydrolase family
PF01983	CofC	Guanylyl transferase CofC like
PF01993	MTD	methylene-5,6,7,8-tetrahydromethanopterin dehydrogenase
PF01996	F420_ligase	F420-0:Gamma-glutamyl ligase
PF02007	MtrH	Tetrahydromethanopterin S-methyltransferase MtrH subunit
PF02011	Glyco_hydro_48	Glycosyl hydrolase family 48
PF02015	Glyco_hydro_45	Glycosyl hydrolase family 45
PF02027	RolB_RolC	RolB/RolC glucosidase family
PF02031	Peptidase_M7	Streptomyces extracellular neutral proteinase (M7) family
PF02055	Glyco_hydro_30	Glycosyl hydrolase family 30 TIM-barrel domain
PF02056	Glyco_hydro_4	Family 4 glycosyl hydrolase
PF02057	Glyco_hydro_59	Glycosyl hydrolase family 59
PF02065	Melibiase	Melibiase
PF02073	Peptidase_M29	Thermophilic metalloprotease (M29)
PF02074	Peptidase_M32	Carboxypeptidase Taq (M32) metallopeptidase
PF02102	Peptidase_M35	Deuterolysin metalloprotease (M35) family
PF02110	HK	Hydroxyethylthiazole kinase family
PF02112	PDEase_II	cAMP phosphodiesterases class-II
PF02113	Peptidase_S13	D-Ala-D-Ala carboxypeptidase 3 (S13) family
PF02122	Peptidase_S39	Peptidase S39
PF02126	PTE	Phosphotriesterase family
PF02127	Peptidase_M18	Aminopeptidase I zinc metalloprotease (M18)
PF02128	Peptidase_M36	Fungalysin metallopeptidase (M36)
PF02129	Peptidase_S15	X-Pro dipeptidyl-peptidase (S15 family)
PF02137	A_deamin	Adenosine-deaminase (editase) domain
PF02142	MGS	MGS-like domain
PF02152	FolB	Dihydroneopterin aldolase
PF02153	PDH	Prephenate dehydrogenase
PF02156	Glyco_hydro_26	Glycosyl hydrolase family 26
PF02160	Peptidase_A3	Cauliflower mosaic virus peptidase (A3)
PF02163	Peptidase_M50	Peptidase family M50
PF02211	NHase_beta	Nitrile hydratase beta subunit
PF02219	MTHFR	Methylenetetrahydrofolate reductase
PF02223	Thymidylate_kin	Thymidylate kinase
PF02224	Cytidylate_kin	Cytidylate kinase
PF02230	Abhydrolase_2	Phospholipase/Carboxylesterase
PF02233	PNTB	NAD(P) transhydrogenase beta subunit
PF02237	BPL_C	Biotin protein ligase C terminal domain
PF02240	MCR_gamma	Methyl-coenzyme M reductase gamma subunit
PF02241	MCR_beta	Methyl-coenzyme M reductase beta subunit, C-terminal domain
PF02249	MCR_alpha	Methyl-coenzyme M reductase alpha subunit, C-terminal domain
PF02253	PLA1	Phospholipase A1
PF02256	Fe_hyd_SSU	Iron hydrogenase small subunit
PF02261	Asp_decarbox	Aspartate decarboxylase
PF02267	Rib_hydrolayse	ADP-ribosyl cyclase
PF02273	Acyl_transf_2	Acyl transferase
PF02274	ADI	Arginine deiminase
PF02275	CBAH	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02276	CytoC_RC	Photosynthetic reaction centre cytochrome C subunit
PF02277	DBI_PRT	Phosphoribosyltransferase
PF02278	Lyase_8	Polysaccharide lyase family 8, super-sandwich domain
PF02283	CobU	Cobinamide kinase / cobinamide phosphate guanyltransferase
PF02286	Dehydratase_LU	Dehydratase large subunit
PF02287	Dehydratase_SU	Dehydratase small subunit
PF02288	Dehydratase_MU	Dehydratase medium subunit
PF02289	MCH	Cyclohydrolase (MCH)
PF02297	COX6B	Cytochrome oxidase c subunit VIb
PF02302	PTS_IIB	PTS system, Lactose/Cellobiose specific IIB subunit
PF02315	MDH	Methanol dehydrogenase beta subunit
PF02317	Octopine_DH	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
PF02324	Glyco_hydro_70	Glycosyl hydrolase family 70
PF02329	HDC	Histidine carboxylase PI chain
PF02333	Phytase	Phytase
PF02347	GDC-P	Glycine cleavage system P-protein
PF02348	CTP_transf_3	Cytidylyltransferase
PF02350	Epimerase_2	UDP-N-acetylglucosamine 2-epimerase
PF02353	CMAS	Mycolic acid cyclopropane synthetase
PF02358	Trehalose_PPase	Trehalose-phosphatase
PF02364	Glucan_synthase	1,3-beta-glucan synthase component
PF02366	PMT	Dolichyl-phosphate-mannose-protein mannosyltransferase
PF02367	TsaE	Threonylcarbamoyl adenosine biosynthesis protein TsaE
PF02373	JmjC	JmjC domain, hydroxylase
PF02378	PTS_EIIC	Phosphotransferase system, EIIC
PF02390	Methyltransf_4	Putative methyltransferase
PF02391	MoaE	MoaE protein
PF02395	Peptidase_S6	Immunoglobulin A1 protease
PF02397	Bac_transf	Bacterial sugar transferase
PF02401	LYTB	LytB protein
PF02406	MmoB_DmpM	MmoB/DmpM family
PF02423	OCD_Mu_crystall	Ornithine cyclodeaminase/mu-crystallin family
PF02426	MIase	Muconolactone delta-isomerase
PF02431	Chalcone	Chalcone-flavanone isomerase
PF02434	Fringe	Fringe-like
PF02435	Glyco_hydro_68	Levansucrase/Invertase
PF02441	Flavoprotein	Flavoprotein
PF02446	Glyco_hydro_77	4-alpha-glucanotransferase
PF02449	Glyco_hydro_42	Beta-galactosidase
PF02450	LCAT	Lecithin:cholesterol acyltransferase
PF02458	Transferase	Transferase family
PF02474	NodA	Nodulation protein A (NodA)
PF02475	Met_10	Met-10+ like-protein
PF02485	Branch	Core-2/I-Branching enzyme
PF02502	LacAB_rpiB	Ribose/Galactose Isomerase
PF02504	FA_synthesis	Fatty acid synthesis protein
PF02511	Thy1	Thymidylate synthase complementing protein
PF02514	CobN-Mg_chel	CobN/Magnesium Chelatase
PF02515	CoA_transf_3	CoA-transferase family III
PF02516	STT3	Oligosaccharyl transferase STT3 subunit
PF02522	Antibiotic_NAT	Aminoglycoside 3-N-acetyltransferase
PF02525	Flavodoxin_2	Flavodoxin-like fold
PF02538	Hydantoinase_B	Hydantoinase B/oxoprolinase
PF02540	NAD_synthase	NAD synthase
PF02541	Ppx-GppA	Ppx/GppA phosphatase family
PF02542	YgbB	YgbB family
PF02543	Carbam_trans_N	Carbamoyltransferase N-terminus
PF02544	Steroid_dh	3-oxo-5-alpha-steroid 4-dehydrogenase
PF02547	Queuosine_synth	Queuosine biosynthesis protein
PF02548	Pantoate_transf	Ketopantoate hydroxymethyltransferase
PF02550	AcetylCoA_hydro	Acetyl-CoA hydrolase/transferase N-terminal domain
PF02551	Acyl_CoA_thio	Acyl-CoA thioesterase
PF02552	CO_dh	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
PF02557	VanY	D-alanyl-D-alanine carboxypeptidase
PF02558	ApbA	Ketopantoate reductase PanE/ApbA
PF02560	Cyanate_lyase	Cyanate lyase C-terminal domain
PF02563	Poly_export	Polysaccharide biosynthesis/export protein
PF02567	PhzC-PhzF	Phenazine biosynthesis-like protein
PF02568	ThiI	Thiamine biosynthesis protein (ThiI)
PF02569	Pantoate_ligase	Pantoate-beta-alanine ligase
PF02570	CbiC	Precorrin-8X methylmutase
PF02571	CbiJ	Precorrin-6x reductase CbiJ/CobK
PF02572	CobA_CobO_BtuR	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP
PF02574	S-methyl_trans	Homocysteine S-methyltransferase
PF02579	Nitro_FeMo-Co	Dinitrogenase iron-molybdenum cofactor
PF02581	TMP-TENI	Thiamine monophosphate synthase
PF02585	PIG-L	GlcNAc-PI de-N-acetylase
PF02590	SPOUT_MTase	Predicted SPOUT methyltransferase
PF02595	Gly_kinase	Glycerate kinase family
PF02597	ThiS	ThiS family
PF02600	DsbB	Disulfide bond formation protein DsbB
PF02602	HEM4	Uroporphyrinogen-III synthase HemD
PF02603	Hpr_kinase_N	HPr Serine kinase N terminus
PF02606	LpxK	Tetraacyldisaccharide-1-P 4'-kinase
PF02610	Arabinose_Isome	L-arabinose isomerase
PF02611	CDH	CDP-diacylglycerol pyrophosphatase
PF02613	Nitrate_red_del	Nitrate reductase delta subunit
PF02614	UxaC	Glucuronate isomerase
PF02615	Ldh_2	Malate/L-lactate dehydrogenase
PF02618	YceG	YceG-like family
PF02624	YcaO	YcaO cyclodehydratase, ATP-ad Mg2+-binding
PF02627	CMD	Carboxymuconolactone decarboxylase family
PF02629	CoA_binding	CoA binding domain
PF02633	Creatininase	Creatinine amidohydrolase
PF02634	FdhD-NarQ	FdhD/NarQ family
PF02636	Methyltransf_28	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF02638	GHL10	Glycosyl hydrolase-like 10
PF02649	GCHY-1	Type I GTP cyclohydrolase folE2
PF02654	CobS	Cobalamin-5-phosphate synthase
PF02662	FlpD	Methyl-viologen-reducing hydrogenase, delta subunit
PF02664	LuxS	S-Ribosylhomocysteinase (LuxS)
PF02665	Nitrate_red_gam	Nitrate reductase gamma subunit
PF02666	PS_Dcarbxylase	Phosphatidylserine decarboxylase
PF02668	TauD	Taurine catabolism dioxygenase TauD, TfdA family
PF02670	DXP_reductoisom	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PF02673	BacA	Bacitracin resistance protein BacA
PF02674	Colicin_V	Colicin V production protein
PF02675	AdoMet_dc	S-adenosylmethionine decarboxylase
PF02684	LpxB	Lipid-A-disaccharide synthetase
PF02685	Glucokinase	Glucokinase
PF02706	Wzz	Chain length determinant protein
PF02709	Glyco_transf_7C	N-terminal domain of galactosyltransferase
PF02710	Hema_HEFG	Hemagglutinin domain of haemagglutinin-esterase-fusion glycoprotein
PF02719	Polysacc_synt_2	Polysaccharide biosynthesis protein
PF02727	Cu_amine_oxidN2	Copper amine oxidase, N2 domain
PF02728	Cu_amine_oxidN3	Copper amine oxidase, N3 domain
PF02729	OTCace_N	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
PF02730	AFOR_N	Aldehyde ferredoxin oxidoreductase, N-terminal domain
PF02737	3HCDH_N	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF02738	Ald_Xan_dh_C2	Molybdopterin-binding domain of aldehyde dehydrogenase
PF02741	FTR_C	FTR, proximal lobe
PF02744	GalP_UDP_tr_C	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF02745	MCR_alpha_N	Methyl-coenzyme M reductase alpha subunit, N-terminal domain
PF02746	MR_MLE_N	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF02749	QRPTase_N	Quinolinate phosphoribosyl transferase, N-terminal domain
PF02754	CCG	Cysteine-rich domain
PF02769	AIRS_C	AIR synthase related protein, C-terminal domain
PF02770	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain
PF02771	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain
PF02772	S-AdoMet_synt_M	S-adenosylmethionine synthetase, central domain
PF02773	S-AdoMet_synt_C	S-adenosylmethionine synthetase, C-terminal domain
PF02774	Semialdhyde_dhC	Semialdehyde dehydrogenase, dimerisation domain
PF02775	TPP_enzyme_C	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF02776	TPP_enzyme_N	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF02777	Sod_Fe_C	Iron/manganese superoxide dismutases, C-terminal domain
PF02779	Transket_pyr	Transketolase, pyrimidine binding domain
PF02780	Transketolase_C	Transketolase, C-terminal domain
PF02781	G6PD_C	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF02782	FGGY_C	FGGY family of carbohydrate kinases, C-terminal domain
PF02783	MCR_beta_N	Methyl-coenzyme M reductase beta subunit, N-terminal domain
PF02784	Orn_Arg_deC_N	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF02785	Biotin_carb_C	Biotin carboxylase C-terminal domain
PF02786	CPSase_L_D2	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02787	CPSase_L_D3	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF02788	RuBisCO_large_N	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF02789	Peptidase_M17_N	Cytosol aminopeptidase family, N-terminal domain
PF02794	HlyC	RTX toxin acyltransferase family
PF02797	Chal_sti_synt_C	Chalcone and stilbene synthases, C-terminal domain
PF02798	GST_N	Glutathione S-transferase, N-terminal domain
PF02799	NMT_C	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain
PF02800	Gp_dh_C	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF02801	Ketoacyl-synt_C	Beta-ketoacyl synthase, C-terminal domain
PF02803	Thiolase_C	Thiolase, C-terminal domain
PF02806	Alpha-amylase_C	Alpha amylase, C-terminal all-beta domain
PF02807	ATP-gua_PtransN	ATP:guanido phosphotransferase, N-terminal domain
PF02812	ELFV_dehydrog_N	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02814	UreE_N	UreE urease accessory protein, N-terminal domain
PF02816	Alpha_kinase	Alpha-kinase family
PF02836	Glyco_hydro_2_C	Glycosyl hydrolases family 2, TIM barrel domain
PF02837	Glyco_hydro_2_N	Glycosyl hydrolases family 2, sugar binding domain
PF02838	Glyco_hydro_20b	Glycosyl hydrolase family 20, domain 2
PF02839	CBM_5_12	Carbohydrate binding domain
PF02843	GARS_C	Phosphoribosylglycinamide synthetase, C domain
PF02844	GARS_N	Phosphoribosylglycinamide synthetase, N domain
PF02852	Pyr_redox_dim	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF02866	Ldh_1_C	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02867	Ribonuc_red_lgC	Ribonucleotide reductase, barrel domain
PF02868	Peptidase_M4_C	Thermolysin metallopeptidase, alpha-helical domain
PF02872	5_nucleotid_C	5'-nucleotidase, C-terminal domain
PF02873	MurB_C	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF02875	Mur_ligase_C	Mur ligase family, glutamate ligase domain
PF02878	PGM_PMM_I	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02879	PGM_PMM_II	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02880	PGM_PMM_III	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02882	THF_DHG_CYH_C	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02884	Lyase_8_C	Polysaccharide lyase family 8, C-terminal beta-sandwich domain
PF02885	Glycos_trans_3N	Glycosyl transferase family, helical bundle domain
PF02894	GFO_IDH_MocA_C	Oxidoreductase family, C-terminal alpha/beta domain
PF02895	H-kinase_dim	Signal transducing histidine kinase, homodimeric domain
PF02896	PEP-utilizers_C	PEP-utilising enzyme, PEP-binding domain
PF02897	Peptidase_S9_N	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02898	NO_synthase	Nitric oxide synthase, oxygenase domain
PF02900	LigB	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02902	Peptidase_C48	Ulp1 protease family, C-terminal catalytic domain
PF02903	Alpha-amylase_N	Alpha amylase, N-terminal ig-like domain
PF02906	Fe_hyd_lg_C	Iron only hydrogenase large subunit, C-terminal domain
PF02910	Succ_DH_flav_C	Fumarate reductase flavoprotein C-term
PF02911	Formyl_trans_C	Formyl transferase, C-terminal domain
PF02913	FAD-oxidase_C	FAD linked oxidases, C-terminal domain
PF02915	Rubrerythrin	Rubrerythrin
PF02929	Bgal_small_N	Beta galactosidase small chain
PF02934	GatB_N	GatB/GatE catalytic domain
PF02943	FeThRed_B	Ferredoxin thioredoxin reductase catalytic beta chain
PF02951	GSH-S_N	Prokaryotic glutathione synthetase, N-terminal domain
PF02952	Fucose_iso_C	L-fucose isomerase, C-terminal domain
PF02955	GSH-S_ATP	Prokaryotic glutathione synthetase, ATP-grasp domain
PF02958	EcKL	Ecdysteroid kinase-like family
PF02962	CHMI	5-carboxymethyl-2-hydroxymuconate isomerase
PF02964	MeMO_Hyd_G	Methane monooxygenase, hydrolase gamma chain
PF02965	Met_synt_B12	Vitamin B12 dependent methionine synthase, activation domain
PF02971	FTCD	Formiminotransferase domain
PF02973	Sialidase	Sialidase, N-terminal domain
PF02975	Me-amine-dh_L	Methylamine dehydrogenase, L chain
PF02979	NHase_alpha	Nitrile hydratase, alpha chain
PF02982	Scytalone_dh	Scytalone dehydratase
PF03007	WES_acyltransf	Wax ester synthase-like Acyl-CoA acyltransferase domain
PF03009	GDPD	Glycerophosphoryl diester phosphodiesterase family
PF03029	ATP_bind_1	Conserved hypothetical ATP binding protein
PF03030	H_PPase	Inorganic H+ pyrophosphatase
PF03031	NIF	NLI interacting factor-like phosphatase
PF03033	Glyco_transf_28	Glycosyltransferase family 28 N-terminal domain
PF03051	Peptidase_C1_2	Peptidase C1-like family
PF03059	NAS	Nicotianamine synthase protein
PF03060	NMO	Nitronate monooxygenase
PF03061	4HBT	Thioesterase superfamily
PF03062	MBOAT	MBOAT, membrane-bound O-acyltransferase family
PF03063	Prismane	Prismane/CO dehydrogenase family
PF03065	Glyco_hydro_57	Glycosyl hydrolase family 57
PF03067	LPMO_10	Lytic polysaccharide mono-oxygenase, cellulose-degrading
PF03068	PAD	Protein-arginine deiminase (PAD)
PF03069	FmdA_AmdA	Acetamidase/Formamidase family
PF03071	GNT-I	GNT-I family
PF03074	GCS	Glutamate-cysteine ligase
PF03079	ARD	ARD/ARD' family
PF03088	Str_synth	Strictosidine synthase
PF03099	BPL_LplA_LipB	Biotin/lipoate A/B protein ligase family
PF03102	NeuB	NeuB family
PF03139	AnfG_VnfG	Vanadium/alternative nitrogenase delta subunit
PF03141	Methyltransf_29	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF03142	Chitin_synth_2	Chitin synthase
PF03155	Alg6_Alg8	ALG6, ALG8 glycosyltransferase family
PF03162	Y_phosphatase2	Tyrosine phosphatase family
PF03170	BcsB	Bacterial cellulose synthase subunit
PF03171	2OG-FeII_Oxy	2OG-Fe(II) oxygenase superfamily
PF03174	CHB_HEX_C	Chitobiase/beta-hexosaminidase C-terminal domain
PF03186	CobD_Cbib	CobD/Cbib protein
PF03200	Glyco_hydro_63	Glycosyl hydrolase family 63 C-terminal domain
PF03201	HMD	H2-forming N5,N10-methylene-tetrahydromethanopterin dehydrogenase
PF03205	MobB	Molybdopterin guanine dinucleotide synthesis protein B
PF03211	Pectate_lyase	Pectate lyase
PF03237	Terminase_6N	Terminase large subunit, T4likevirus-type, N-terminal
PF03241	HpaB	4-hydroxyphenylacetate 3-hydroxylase C terminal
PF03243	MerB	Alkylmercury lyase
PF03254	XG_FTase	Xyloglucan fucosyltransferase
PF03255	ACCA	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF03264	Cytochrom_NNT	NapC/NirT cytochrome c family, N-terminal region
PF03266	NTPase_1	NTPase
PF03275	GLF	UDP-galactopyranose mutase
PF03279	Lip_A_acyltrans	Bacterial lipid A biosynthesis acyltransferase
PF03283	PAE	Pectinacetylesterase
PF03284	PHZA_PHZB	Phenazine biosynthesis protein A/B
PF03301	Trp_dioxygenase	Tryptophan 2,3-dioxygenase
PF03306	AAL_decarboxy	Alpha-acetolactate decarboxylase
PF03309	Pan_kinase	Type III pantothenate kinase
PF03313	SDH_alpha	Serine dehydratase alpha chain
PF03315	SDH_beta	Serine dehydratase beta chain
PF03319	EutN_CcmL	Ethanolamine utilisation protein EutN/carboxysome
PF03320	FBPase_glpX	Bacterial fructose-1,6-bisphosphatase, glpX-encoded
PF03328	HpcH_HpaI	HpcH/HpaI aldolase/citrate lyase family
PF03331	LpxC	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF03332	PMM	Eukaryotic phosphomannomutase
PF03345	DDOST_48kD	Oligosaccharyltransferase 48 kDa subunit beta
PF03352	Adenine_glyco	Methyladenine glycosylase
PF03358	FMN_red	NADPH-dependent FMN reductase
PF03360	Glyco_transf_43	Glycosyltransferase family 43
PF03364	Polyketide_cyc	Polyketide cyclase / dehydrase and lipid transport
PF03403	PAF-AH_p_II	Platelet-activating factor acetylhydrolase, isoform II
PF03404	Mo-co_dimer	Mo-co oxidoreductase dimerisation domain
PF03405	FA_desaturase_2	Fatty acid desaturase
PF03410	Peptidase_M44	Metallopeptidase from vaccinia pox
PF03411	Peptidase_M74	Penicillin-insensitive murein endopeptidase
PF03412	Peptidase_C39	Peptidase C39 family
PF03414	Glyco_transf_6	Glycosyltransferase family 6
PF03417	AAT	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF03418	Peptidase_A25	Germination protease
PF03422	CBM_6	Carbohydrate binding module (family 6)
PF03423	CBM_25	Carbohydrate binding domain (family 25)
PF03424	CBM_17_28	Carbohydrate binding domain (family 17/28)
PF03425	CBM_11	Carbohydrate binding domain (family 11)
PF03435	Sacchrp_dh_NADP	Saccharopine dehydrogenase NADP binding domain
PF03446	NAD_binding_2	NAD binding domain of 6-phosphogluconate dehydrogenase
PF03447	NAD_binding_3	Homoserine dehydrogenase, NAD binding domain
PF03450	CO_deh_flav_C	CO dehydrogenase flavoprotein C-terminal domain
PF03460	NIR_SIR_ferr	Nitrite/Sulfite reductase ferredoxin-like half domain
PF03473	MOSC	MOSC domain
PF03486	HI0933_like	HI0933-like protein
PF03492	Methyltransf_7	SAM dependent carboxyl methyltransferase
PF03500	Cellsynth_D	Cellulose synthase subunit D
PF03510	Peptidase_C24	2C endopeptidase (C24) cysteine protease family
PF03512	Glyco_hydro_52	Glycosyl hydrolase family 52
PF03537	Glyco_hydro_114	Glycoside-hydrolase family GH114
PF03539	Spuma_A9PTase	Spumavirus aspartic protease (A9)
PF03552	Cellulose_synt	Cellulose synthase
PF03559	Hexose_dehydrat	NDP-hexose 2,3-dehydratase
PF03561	Allantoicase	Allantoicase repeat
PF03567	Sulfotransfer_2	Sulfotransferase family
PF03568	Peptidase_C50	Peptidase family C50
PF03574	Peptidase_S48	Peptidase family S48
PF03577	Peptidase_C69	Peptidase family C69
PF03583	LIP	Secretory lipase
PF03587	EMG1	EMG1/NEP1 methyltransferase
PF03588	Leu_Phe_trans	Leucyl/phenylalanyl-tRNA protein transferase
PF03590	AsnA	Aspartate-ammonia ligase
PF03591	AzlC	AzlC protein
PF03597	FixS	Cytochrome oxidase maturation protein cbb3-type
PF03598	CdhC	CO dehydrogenase/acetyl-CoA synthase complex beta subunit
PF03602	Cons_hypoth95	Conserved hypothetical protein 95
PF03606	DcuC	C4-dicarboxylate anaerobic carrier
PF03612	EIIBC-GUT_N	Sorbitol phosphotransferase enzyme II N-terminus
PF03616	Glt_symporter	Sodium/glutamate symporter
PF03618	Kinase-PPPase	Kinase/pyrophosphorylase
PF03621	MbtH	MbtH-like protein
PF03623	Focal_AT	Focal adhesion targeting region
PF03630	Fumble	Fumble
PF03639	Glyco_hydro_81	Glycosyl hydrolase family 81 N-terminal domain
PF03640	Lipoprotein_15	Secreted repeat of unknown function
PF03642	MAP	MAP domain
PF03644	Glyco_hydro_85	Glycosyl hydrolase family 85
PF03648	Glyco_hydro_67N	Glycosyl hydrolase family 67 N-terminus
PF03649	UPF0014	Uncharacterised protein family (UPF0014)
PF03662	Glyco_hydro_79n	Glycosyl hydrolase family 79, N-terminal domain
PF03664	Glyco_hydro_62	Glycosyl hydrolase family 62
PF03695	UPF0149	Uncharacterised protein family (UPF0149)
PF03702	AnmK	Anhydro-N-acetylmuramic acid kinase
PF03706	LPG_synthase_TM	Lysylphosphatidylglycerol synthase TM region
PF03709	OKR_DC_1_N	Orn/Lys/Arg decarboxylase, N-terminal domain
PF03710	GlnE	Glutamate-ammonia ligase adenylyltransferase
PF03714	PUD	Bacterial pullanase-associated domain
PF03717	PBP_dimer	Penicillin-binding Protein dimerisation domain
PF03718	Glyco_hydro_49	Glycosyl hydrolase family 49
PF03720	UDPG_MGDP_dh_C	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
PF03721	UDPG_MGDP_dh_N	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
PF03727	Hexokinase_2	Hexokinase
PF03734	YkuD	L,D-transpeptidase catalytic domain
PF03737	RraA-like	Aldolase/RraA
PF03738	GSP_synth	Glutathionylspermidine synthase preATP-grasp
PF03740	PdxJ	Pyridoxal phosphate biosynthesis protein PdxJ
PF03744	BioW	6-carboxyhexanoate--CoA ligase
PF03747	ADP_ribosyl_GH	ADP-ribosylglycohydrolase
PF03756	AfsA	A-factor biosynthesis hotdog domain
PF03767	Acid_phosphat_B	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF03770	IPK	Inositol polyphosphate kinase
PF03773	ArsP_1	Predicted permease
PF03780	Asp23	Asp23 family, cell envelope-related function
PF03781	FGE-sulfatase	Sulfatase-modifying factor enzyme 1
PF03785	Peptidase_C25_C	Peptidase family C25, C terminal ig-like domain
PF03786	UxuA	D-mannonate dehydratase (UxuA)
PF03795	YCII	YCII-related domain
PF03802	CitX	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
PF03807	F420_oxidored	NADP oxidoreductase coenzyme F420-dependent
PF03808	Glyco_tran_WecG	Glycosyl transferase WecG/TagA/CpsF family
PF03814	KdpA	Potassium-transporting ATPase A subunit
PF03819	MazG	MazG nucleotide pyrophosphohydrolase domain
PF03829	PTSIIA_gutA	PTS system glucitol/sorbitol-specific IIA component
PF03830	PTSIIB_sorb	PTS system sorbose subfamily IIB component
PF03848	TehB	Tellurite resistance protein TehB
PF03853	YjeF_N	YjeF-related protein N-terminus
PF03856	SUN	Beta-glucosidase (SUN family)
PF03881	Fructosamin_kin	Fructosamine kinase
PF03894	XFP	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
PF03900	Porphobil_deamC	Porphobilinogen deaminase, C-terminal domain
PF03901	Glyco_transf_22	Alg9-like mannosyltransferase family
PF03916	NrfD	Polysulphide reductase, NrfD
PF03917	GSH_synth_ATP	Eukaryotic glutathione synthase, ATP binding domain
PF03928	Haem_degrading	Haem-degrading
